Product category,Year,Notification type,Risk,Notified by,Action taken,Distribution status,Risk decision,Country of origin,
"nuts, nut products and seeds",20/02/2019,border rejection,border control - consignment under customs,Italy,re-dispatch,product allowed to travel to destination under customs seals,serious,Nigeria,
"nuts, nut products and seeds",27/02/2019,border rejection,border control - consignment detained,Poland,re-dispatch,product not (yet) placed on the market,serious,Nigeria,
"nuts, nut products and seeds",22/03/2019,border rejection,border control - consignment detained,Netherlands,official detention,product not (yet) placed on the market,serious,Nigeria,
"nuts, nut products and seeds",26/03/2019,border rejection,border control - consignment detained,Netherlands,official detention,product not (yet) placed on the market,serious,Nigeria,
"nuts, nut products and seeds",26/03/2019,border rejection,border control - consignment detained,Netherlands,official detention,product not (yet) placed on the market,serious,Nigeria,
"nuts, nut products and seeds",01/04/2019,border rejection,border control - consignment detained,Poland,re-dispatch,product not (yet) placed on the market,serious,Nigeria,
"nuts, nut products and seeds",09/04/2019,border rejection,border control - consignment detained,Poland,re-dispatch,product not (yet) placed on the market,serious,Nigeria,
"nuts, nut products and seeds",09/04/2019,border rejection,border control - consignment detained,Greece,physical/chemical treatment,product not (yet) placed on the market,serious,Nigeria,
"nuts, nut products and seeds",10/04/2019,border rejection,border control - consignment detained,Greece,re-dispatch,product not (yet) placed on the market,serious,Nigeria,
"nuts, nut products and seeds",12/04/2019,border rejection,border control - consignment detained,Greece,physical/chemical treatment,product not (yet) placed on the market,serious,Nigeria,
"nuts, nut products and seeds",07/05/2019,border rejection,border control - consignment detained,Greece,physical/chemical treatment,product not (yet) placed on the market,serious,Nigeria,
